ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,HHContributors,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites
A2CPWA60000O,Realm Multiply,Active,,3/3/2017,,Suitland,MD,20746-3247,Prince Georges,US,Non - Denominational,Non - Denominational,800,Church,31,121,368,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
A2CPWA600013,Realm Multiply,Active,,5/29/2019,,Fredericksburg,VA,22407-5015,Spotsylvania,US,Presbyterian - EPC,Presbyterian,307,Church,8,167,289,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA600016,Realm Connect,Active,,9/21/2016,,Poolesville,MD,20837-2080,Montgomery,US,Episcopal,Episcopal and Anglican,100,Church,3,24,36,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA600026,Realm Inform,Active,,12/19/2016,,Centreville,MD,21617-1221,Queen Annes,US,Episcopal,Episcopal and Anglican,100,Church,3,0,139,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA60002A,Realm Inform,Active,,9/29/2017,,Fort Washington,MD,20744-6123,Prince Georges,US,Baptist - American,Baptist,80,Church,1,0,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
A2CPWA800008,Realm Inform,Active,,10/27/2014,,Arlington,VA,22205-2445,Arlington,US,Episcopal,Episcopal and Anglican,142,Church,6,14,147,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA80000M,Realm Inform,Active,,8/24/2016,,Fort Washington,MD,20744-5813,Prince Georges,US,Baptist - Progressive National,Baptist,275,Church,2,0,322,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWA80000X,Realm Connect,Active,,10/17/2018,,Alexandria,VA,22302-2340,Alexandria City,US,Anglican,Episcopal and Anglican,300,Church,10,120,179,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
A2CPWAA00000,Realm Connect,Active,,7/25/2017,,Washington,DC,20007-2842,District of Columbia,US,Episcopal,Episcopal and Anglican,99,Church,11,35,233,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
A2CPWAA00005,Realm Connect,Active,,10/15/2020,,Silver Spring,MD,20904-3352,Montgomery,US,Presbyterian - PCUSA,Presbyterian,100,Church,12,5,121,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A2CPWAB00000,Realm Connect,Active,,1/22/2018,,Fairfax,VA,22033-3801,Fairfax,US,Non - Denominational,Non - Denominational,99,Church,7,20,57,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A7JRTA1000GS,Realm Connect,Active,,11/15/2018,,Deforest,WI,53532-1402,Dane,US,Lutheran - ELCA,Lutheran,100,Church,9,1,135,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A7TQMA0000B9,Realm Connect,Active,,10/16/2018,,Napa,CA,94558-5557,Napa,US,Baptist - American,Baptist,175,Church,8,58,149,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AARLFA40000A,Realm Inform,Active,,9/10/2020,,Corpus Christi,TX,78405-4122,Nueces,US,Baptist - SBC,Baptist,50,Church,1,2,38,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AARLFA40000B,Realm Connect,Active,,2/17/2022,,Decatur,TX,76234-2274,Wise,US,Baptist - Independent,Baptist,125,Church,5,3,153,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AB00FA10000R,Realm Inform,Active,,10/7/2015,,Greenville,SC,29616-0818,Greenville,US,Baptist - CBF,Baptist,150,Church,6,83,166,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA500002,Realm Inform,Active,,3/28/2013,,Eldorado,TX,76936,NULL,US,Baptist - SBC,Baptist,120,Church,1,0,137,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA500003,Realm Inform,Active,,1/3/2017,,Round Rock,TX,78665-9419,Williamson,US,Non - Denominational,Non - Denominational,150,Church,1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA50000L,Realm Connect,Active,,12/5/2017,,Plano,TX,75074-7011,Collin,US,Non - Denominational,Non - Denominational,350,Church,36,108,270,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AC2VTA50000S,Realm Connect,Active,,6/29/2018,,Chappell Hill,TX,77426,NULL,US,Baptist - SBC,Baptist,160,Church,14,46,149,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AC2VTA50000U,Realm Connect,Active,,1/2/2019,,Needville,TX,77461,NULL,US,Baptist - SBC,Baptist,130,Church,15,35,86,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA500018,Realm Connect,Active,,8/6/2018,,McKinney,TX,75070-9601,Collin,US,Episcopal,Episcopal and Anglican,300,Church,19,69,296,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
AC2VTA50001V,Realm Connect,Active,,7/25/2018,,Texarkana,TX,75503-5068,Bowie,US,Non - Denominational,Non - Denominational,850,Church,8,82,319,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AC2VTA60000I,Realm Connect,Active,,9/23/2015,,Longview,TX,75603-0919,Gregg,US,Baptist - SBC,Baptist,275,Church,16,47,153,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AC2VTA800008,Realm Connect,Active,,6/3/2015,,McKinney,TX,75071-7338,Collin,US,Baptist - SBC,Baptist,100,Church,13,74,208,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA80000F,Realm Inform,Active,,2/2/2015,,Austin,TX,78757-1852,Travis,US,Non - Denominational,Non - Denominational,130,Church,6,53,61,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA80000H,Realm Connect,Active,,2/27/2018,,Scurry,TX,75158-2952,Kaufman,US,Baptist - SBC,Baptist,450,Church,14,147,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AC2VTA80000W,Realm Connect,Active,,10/31/2018,,Dallas,TX,75228-7125,Dallas,US,Presbyterian,Presbyterian,65,Church,9,17,89,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTA80001E,Realm Connect,Active,,11/7/2018,,San Antonio,TX,78240-3163,Bexar,US,Methodist - UMC,Methodist,300,Church,8,28,168,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTAA00009,Realm Connect,Active,,4/29/2019,,Midland,TX,79701-4225,Midland,US,Church of Christ,Church of Christ,125,Church,1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC2VTAC00003,Realm Connect,Active,,2/17/2020,,Garland,TX,75042-5440,Dallas,US,Baptist - Independent,Baptist,150,Church,4,11,25,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC42TA100002,Realm Connect,Active,,2/1/2019,,Macon,GA,31210-1229,Bibb,US,Presbyterian - PCA,Presbyterian,300,Church,17,167,350,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC42TA10020O,Realm Inform,Active,,1/28/2020,,Macon,GA,31206-2117,Bibb,US,Baptist,Baptist,70,Church,3,0,67,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC42TA10023U,Realm Connect,Active,,6/4/2018,,Watkinsville,GA,30677-4816,Oconee,US,Presbyterian - PCUSA,Presbyterian,160,Church,12,84,120,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AC42TA1005NS,Realm Connect,Active,,11/7/2017,,Evans,GA,30809-6127,Columbia,US,Methodist - UMC,Methodist,180,Church,16,97,151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACACKA100000,Realm Connect,Active,,3/1/2019,,Decatur,GA,30030-4148,DeKalb,US,Presbyterian - EPC,Presbyterian,400,Church,12,278,173,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ACACKA1000HP,Realm Inform,Active,,2/19/2016,,Decatur,GA,30034-6224,DeKalb,US,Church of God in Christ,Church of God in Christ,150,Church,4,2,107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1000I1,Realm Inform,Active,,6/11/2020,,Atlanta,GA,30318-7413,Fulton,US,Presbyterian - PCUSA,Presbyterian,150,Church,6,37,153,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ACACKA1000QP,Realm Connect,Active,,4/20/2018,,Mableton,GA,30126,NULL,US,Baptist - Missionary,Baptist,200,Church,9,24,340,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1000QU,Realm Connect,Active,,5/8/2020,,Atlanta,GA,30314-3340,Fulton,US,Church of Christ,Church of Christ,300,Church,7,0,321,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1000RK,Realm Inform,Active,,3/30/2016,,Atlanta,GA,30310-1137,Fulton,US,Christian Methodist Episcopal,Methodist,110,Church,6,1,273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1000RO,Realm Multiply,Active,,2/1/2018,,Austell,GA,30168-7876,Cobb,US,Inter-Denominational,Non - Denominational,"8,300",Church,45,"6,264","11,870",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACACKA1001E4,Realm Inform,Active,,3/6/2015,,Atlanta,GA,30310-1135,Fulton,US,Baptist,Baptist,110,Church,1,0,86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001E6,Realm Multiply,Active,,4/19/2022,,Tucker,GA,30084-6499,DeKalb,US,Baptist,Baptist,200,Church,1,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001E9,Realm Inform,Active,,9/23/2014,,Fairburn,GA,30213-4306,Fulton,US,Baptist - Missionary,Baptist,200,Church,2,0,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001F5,Realm Connect,Active,,3/29/2019,,Atlanta,GA,30311-3616,Fulton,US,Methodist - UMC,Methodist,725,Church,14,909,"1,698",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001FE,Realm Inform,Active,,4/29/2019,,Atlanta,GA,30315-8601,Fulton,US,Pentecostal,Pentecostal,99,Church,4,5,128,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001FF,Realm Inform,Active,,6/23/2017,,Atlanta,GA,30311-3286,Fulton,US,Episcopal,Episcopal and Anglican,60,Church,2,48,87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001GT,Realm Inform,Active,,4/20/2016,,Brookhaven,GA,30319-2643,DeKalb,US,Church of God in Christ,Church of God in Christ,100,Church,3,0,136,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1001HC,Realm Connect,Active,,11/20/2017,,Ellenwood,GA,30294-1534,DeKalb,US,Baptist - SBC,Baptist,50,Church,7,13,90,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA1003NT,Realm Connect,Active,,12/9/2019,,Lithonia,GA,30058-5849,DeKalb,US,African Methodist Episcopal,AME,189,Church,11,67,487,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA200006,Realm Inform,Active,,11/14/2016,,Columbus,GA,31907-2111,Muscogee,US,Assembly of God,Assembly of God,50,Church,2,0,36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA20004U,Realm Inform,Active,,1/18/2019,,Commerce,GA,30529-2614,Jackson,US,Presbyterian - PCUSA,Presbyterian,85,Church,1,0,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA2000G4,Realm Connect,Active,,10/4/2019,,Conyers,GA,30013-4930,Newton,US,Baptist - SBC,Baptist,150,Church,2,6,170,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACACKA2000JV,Realm Inform,Not Using,No Longer Needed,6/1/2015,1/21/2022,Conyers,GA,30012-0216,Rockdale,US,Baptist,Baptist,125,Church,3,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
